title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,id_y,rating,genre,director,writer,runtime
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1075,NR,Art House and International|Classics|Drama,Anatole Litvak,Peter Viertel|Hugh Wheeler,110 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1077,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Steven Spielberg,Michael Crichton|David Koepp|Malia Scotch Marmo,126 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1078,R,Action and Adventure|Mystery and Suspense,Andrew Davis,Steven Pressfield|Ronald Shusett|Andrew Davis|Steve Pressfield|Steven Seagal|John Eskow,99 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1079,R,Comedy|Drama|Mystery and Suspense,Greg Marcks,Greg Marcks,86 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1082,PG,Classics|Drama,John Frankenheimer,Robert Alan Aurthur|William Hanley,167 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1085,NR,Art House and International|Drama,Bertrand Tavernier,Bertrand Tavernier|Dominique Sampiero|Tiffany Tavernier,118 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1086,PG,Science Fiction and Fantasy,,Anne Dyer|John Sayles,105 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1089,R,Comedy|Drama|Science Fiction and Fantasy,Gus Van Sant,Gus Van Sant,100 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1090,R,Classics|Comedy,,Jack Margolis,95 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1093,R,Classics|Comedy,Elia Kazan,Tennessee Williams,114 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1094,PG,Comedy|Science Fiction and Fantasy,Tom Mankiewicz,,96 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1095,R,Comedy,Kevin Smith,Kevin Smith,95 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1096,R,Action and Adventure|Drama,Harry Hook,Jay Presson Allen|Sara Schiff,90 minutes
